Tiempo,Edad,Barrio,Programa,Horario,Medio de Transporte,Tiempo que tardas yendo a la U,Cuánto pagas?,Te sientes seguro?,Considerarías cambiarte al sistema de cupos?,¿Hasta cuanto estarías dispuesto a pagar por ir en carro particular (cupos)?,Usar tu vehículo
26/02/2023,29,Camino Real,Ingenieria Mecatronica,Ambos,Bus o Mio (masivo integrado de occidente),53,13,Sólo comod@,No,3000-4000,Sí
26/02/2023,30,Camino Real,Cine,Nocturno,Bicicleta o Caminando,60,7,No,Sí,3000-4000,No
22/02/2023,17,Bochalema,Comunicacion Social,Ambos,Carro particular,42,20,No,No,3000-4000,Sí
27/02/2023,17,Bochalema,Ingenieria Mecatronica,Diurno,Moto propia,45,18,Sí,Sí,4000-5000,Sí
28/02/2023,23,Ciudad 2000,Ingenieria Industrial,Nocturno,Carro particular,82,18,No,Sí,5000-6000,Sí
22/02/2023,24,Palmira,Ingenieria Mecanica,Diurno,Carro particular,55,18,No,Sí,5000-6000,Sí
24/02/2023,21,Jamundi,Ingenieria Industrial,Diurno,Moto propia,48,19,Sí,Sí,5000-6000,No
25/02/2023,22,Valle del Lili,Ingenieria Multimedia,Nocturno,Transporte Informal (Uber Pirata etc.),77,12,Sí,Sí,5000-6000,Sí
25/02/2023,25,Bochalema,Comunicacion Publicitaria,Nocturno,Transporte Informal (Uber Pirata etc.),54,5,Sólo comod@,Sí,3000-4000,No
24/02/2023,18,Ciudadela Melendez,Cine,Nocturno,Moto propia,57,12,Sólo comod@,No,3000-4000,No
23/02/2023,25,Ciudad 2000,Administracion de Empresas,Ambos,Transporte Informal (Uber Pirata etc.),51,13,No,No,4000-5000,Sí
26/02/2023,25,Bochalema,Mercadeo,Ambos,Bus o Mio (masivo integrado de occidente),80,5,Sólo comod@,No,5000-6000,Sí
28/02/2023,24,Bochalema,Cine,Ambos,Carro particular,55,19,Sólo comod@,No,4000-5000,Sí
25/02/2023,20,Las Vegas,Cine,Diurno,Transporte Informal (Uber Pirata etc.),58,15,No,Sí,4000-5000,Sí
25/02/2023,25,Florida,Publicidad en Medio Digitales,Nocturno,Carro particular,71,14,Sólo segur@,Sí,3000-4000,Sí
23/02/2023,18,Ciudadela Melendez,Publicidad en Medio Digitales,Diurno,Bus o Mio (masivo integrado de occidente),20,7,No,Sí,4000-5000,No
27/02/2023,19,Bochalema,Ingenieria de Datos e IA,Diurno,Bicicleta o Caminando,90,11,Sólo comod@,No,5000-6000,Sí
25/02/2023,28,Jamundi,Ingenieria Biomedica,Diurno,Bus o Mio (masivo integrado de occidente),87,17,Sólo comod@,Sí,4000-5000,No
23/02/2023,24,Bochalema,Ingenieria de Datos e IA,Ambos,Carro particular,42,11,Sólo segur@,Sí,4000-5000,Sí
21/02/2023,24,Palmira,Ingenieria Biomedica,Ambos,Bicicleta o Caminando,88,8,No,Sí,3000-4000,Sí
25/02/2023,20,Yumbo,Ingenieria Industrial,Ambos,Transporte Informal (Uber Pirata etc.),17,5,Sólo comod@,Sí,4000-5000,Sí
23/02/2023,28,Palmira,Ingenieria Biomedica,Ambos,Bus o Mio (masivo integrado de occidente),38,17,No,Sí,5000-6000,Sí
21/02/2023,29,Jamundi,Comunicacion Social,Diurno,Moto propia,73,10,No,Sí,5000-6000,No
21/02/2023,29,Valle del Lili,Ingenieria Informatica,Ambos,Transporte Informal (Uber Pirata etc.),68,17,No,Sí,5000-6000,Sí
28/02/2023,30,Salomia,Administracion de Empresas,Diurno,Carro particular,78,8,No,Sí,4000-5000,Sí
22/02/2023,29,Metropolitano del Norte,Ingenieria Informatica,Diurno,Moto propia,23,11,Sólo comod@,Sí,5000-6000,Sí
23/02/2023,26,Jamundi,Ingenieria Multimedia,Diurno,Carro particular,14,11,No,Sí,4000-5000,No
24/02/2023,26,Yumbo,Ingenieria de Datos e IA,Nocturno,Carro particular,22,13,Sí,No,4000-5000,Sí
27/02/2023,28,Valle del Lili,Ingenieria Mecatronica,Diurno,Bus o Mio (masivo integrado de occidente),43,17,Sí,No,5000-6000,Sí
28/02/2023,24,Valle del Lili,Ingenieria de sistemas,Diurno,Transporte Informal (Uber Pirata etc.),88,17,Sí,Sí,4000-5000,Sí
27/02/2023,24,Camino Real,Ingenieria de Datos e IA,Nocturno,Bicicleta o Caminando,56,6,No,Sí,4000-5000,Sí
21/02/2023,26,La Hacienda,Comunicacion Social,Nocturno,Bus o Mio (masivo integrado de occidente),17,13,Sólo comod@,Sí,4000-5000,Sí
23/02/2023,24,Bochalema,Mercadeo,Ambos,Bus o Mio (masivo integrado de occidente),21,8,Sólo segur@,Sí,4000-5000,No
28/02/2023,27,Camino Real,Ingenieria Mecanica,Nocturno,Carro particular,26,14,No,Sí,5000-6000,Sí
20/02/2023,17,Florida,Ingenieria Mecanica,Diurno,Transporte Informal (Uber Pirata etc.),71,14,Sólo comod@,Sí,4000-5000,Sí
21/02/2023,29,Valle del Lili,Ingenieria de sistemas,Nocturno,Moto propia,56,19,No,Sí,4000-5000,Sí
22/02/2023,23,Camino Real,Ingenieria Mecatronica,Diurno,Bus o Mio (masivo integrado de occidente),24,17,Sólo segur@,Sí,4000-5000,No
23/02/2023,26,Valle del Lili,Cine,Diurno,Carro particular,55,6,No,No,3000-4000,No
27/02/2023,26,La Hacienda,Mercadeo,Ambos,Transporte Informal (Uber Pirata etc.),30,14,Sólo comod@,Sí,4000-5000,No
22/02/2023,29,Salomia,Ingenieria Mecatronica,Diurno,Carro particular,33,10,Sólo comod@,Sí,5000-6000,Sí
25/02/2023,30,Tejares de Salomia,Ingenieria Industrial,Diurno,Moto propia,40,10,No,Sí,4000-5000,Sí
